#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
530	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
531	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
532	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
533	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
534	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
535	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
536	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
537	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
538	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
539	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
540	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
541	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
542	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
543	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
544	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
545	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
546	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
547	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
548	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
549	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
550	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
551	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
552	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
553	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
554	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
555	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
556	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
557	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
558	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
559	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
560	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
561	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
562	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
563	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
564	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
565	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
566	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
567	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
568	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
569	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
570	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
571	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
572	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
573	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
574	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
575	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
576	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
577	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
578	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
579	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
580	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
581	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
582	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
583	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
584	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
585	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
586	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
587	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
588	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
589	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
590	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
591	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
592	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
593	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
594	0	0.257107	0	0	0	0	0.00125504	480.844	507.281	0.0132904
