#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
1277	16	0	0	0	0	0	0.0139845	0	3.34083e-08	0.000989401
1278	16	0	0	0	0	0	0.0139733	0	3.34083e-08	0.000988097
1279	16	0	0	0	0	0	0.0139747	0	3.34083e-08	0.000987229
1280	16	0	0	0	0	0	0.0139701	0	3.34082e-08	0.000985931
1281	16	0	0	0	0	0	0.0139708	0	3.34082e-08	0.000985499
1282	16	0	0	0	0	0	0.0139656	0	3.46932e-08	0.000984636
1283	16	0	0	0	0	0	0.0139611	0	3.46932e-08	0.000983344
1284	16	0	0	0	0	0	0.0139625	0	3.46932e-08	0.000982485
1285	16	0	0	0	0	0	0.013958	0	3.46931e-08	0.00100899
1286	16	0	0	0	0.40625	0	0.0139587	0	3.46931e-08	0.00102938
1287	16	0	0	0	0.300781	0.703125	0.0139931	0	3.59781e-08	0.00102848
1288	16	0	0	0	0.174107	0.0859375	0.0139886	0	3.59781e-08	0.00102714
1289	16	0	0	0	0.135417	0.28125	0.01399	0	3.59781e-08	0.00102625
1290	16	0	0	0	0.130208	0.125	0.0139789	0	3.5978e-08	0.00102491
1291	16	0	0	0	0.120192	0.125	0.0139862	0	3.5978e-08	0.00102446
1292	16	0	0	0	0.104167	0.0833333	0.0139875	0	3.5978e-08	0.00102357
1293	16	0	0	0	0.0868056	0.0572917	0.0139765	0	3.5978e-08	0.00102224
1294	16	0	0	0	0.078125	0.046875	0.0139778	0	3.5978e-08	0.00102136
1295	16	0	0	0	0.0679348	0.0379464	0.0139734	0	3.5978e-08	0.00102003
1296	16	0	0	0	0.0651042	0.0364583	0.0139741	0	3.5978e-08	0.00101959
1297	16	0	0	0	0.0600962	0.0321691	0.0139754	0	3.5978e-08	0.00101871
1298	16	0	0	0	0.0538793	0.0273438	0.013971	0	3.5978e-08	0.00101739
1299	16	0	0	0	0.0520833	0.0267857	0.0139717	0	3.5978e-08	0.00101695
1300	16	0	0	0	0.0488281	0.0244565	0.013973	0	3.5978e-08	0.00101607
1301	16	0	0	0	0.0446429	0.0216346	0.0139686	0	3.5978e-08	0.00101476
1302	16	0	0	0	0.0422297	0.0212054	0.01397	0	3.5978e-08	0.00101389
1303	16	0	0	0	0.0390625	0.0191532	0.0139655	0	3.5978e-08	0.00101258
1304	16	0	0	0	0.0381098	0.0185547	0.0139662	0	3.5978e-08	0.00101215
