#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
2138	0	0	0	0	0	0	0.0336342	0	0	0.030941
2139	0	0	0	0	0	0	0.0336494	0	0	0.030941
2140	0	0	0	0	0	0	0.0336647	0	0	0.030941
2141	0	0	0	0	0	0	0.03368	0	0	0.030941
2142	0	0	0	0	0	0	0.0336952	0	0	0.030941
2143	0	0	0	0	0	0	0.0337105	0	0	0.030941
2144	0	0	0	0	0	0	0.0337257	0	0	0.030941
2145	0	0	0	0	0	0	0.033741	0	0	0.030941
2146	0	0	0	0	0	0	0.0337563	0	0	0.030941
2147	0	0	0	0	0	0	0.0337715	0	0	0.030941
2148	0	0	0	0	0	0	0.0337868	0	0	0.030941
2149	0	0	0	0	0	0	0.033802	0	0	0.030941
2150	0	0	0	0	0	0	0.0338173	0	0	0.030941
2151	0	0	0	0	0	0	0.0338326	0	0	0.030941
2152	0	0	0	0	0	0	0.0338478	0	0	0.030941
2153	0	0	0	0	0	0	0.0338631	0	0	0.030941
2154	0	0	0	0	0	0	0.0338783	0	0	0.030941
2155	0	0	0	0	0	0	0.0338936	0	0	0.030941
2156	0	0	0	0	0	0	0.0339088	0	0	0.030941
2157	0	0	0	0	0	0	0.0339241	0	0	0.030941
2158	0	0	0	0	0	0	0.0339394	0	0	0.030941
2159	0	0	0	0	0	0	0.0339546	0	0	0.030941
2160	0	0	0	0	0	0	0.0339737	0	0	0.030941
2161	0	0	0	0	0	0	0.033989	0	0	0.030941
2162	0	0	0	0	0	0	0.0340042	0	0	0.030941
2163	0	0	0	0	0	0	0.0340195	0	0	0.030941
2164	0	0	0	0	0	0	0.0340347	0	0	0.030941
2165	0	0	0	0	0	0	0.03405	0	0	0.030941
2166	0	0	0	0	0	0	0.0340652	0	0	0.030941
2167	0	0	0	0	0	0	0.0340805	0	0	0.030941
2168	0	0	0	0	0	0	0.0340958	0	0	0.030941
2169	0	0	0	0	0	0	0.034111	0	0	0.030941
2170	0	0	0	0	0	0	0.0341263	0	0	0.030941
2171	0	0	0	0	0	0	0.0341415	0	0	0.030941
2172	0	0	0	0	0	0	0.0341568	0	0	0.030941
2173	0	0	0	0	0	0	0.0341721	0	0	0.030941
2174	0	0	0	0	0	0	0.0341873	0	0	0.030941
2175	0	0	0	0	0	0	0.0342026	0	0	0.030941
2176	0	0	0	0	0	0	0.0342178	0	0	0.030941
2177	0	0	0	0	0	0	0.0342331	0	0	0.030941
2178	0	0	0	0	0	0	0.0342484	0	0	0.030941
2179	0	0	0	0	0	0	0.0342636	0	0	0.030941
2180	0	0	0	0	0	0	0.0342789	0	0	0.030941
2181	0	0	0	0	0	0	0.0342941	0	0	0.030941
2182	0	0	0	0	0	0	0.0343094	0	0	0.030941
2183	0	0	0	0	0	0	0.0343246	0	0	0.030941
2184	0	0	0	0	0	0	0.0343399	0	0	0.030941
2185	0	0	0	0	0	0	0.0343552	0	0	0.030941
2186	0	0	0	0	0	0	0.0343704	0	0	0.030941
2187	0	0	0	0	0	0	0.0343857	0	0	0.030941
2188	0	0	0	0	0	0	0.0344009	0	0	0.030941
2189	0	0	0	0	0	0	0.0344162	0	0	0.030941
2190	0	0	0	0	0	0	0.0344315	0	0	0.030941
2191	0	0	0	0	0	0	0.0344467	0	0	0.030941
2192	0	0	0	0	0	0	0.0344658	0	0	0.030941
2193	0	0	0	0	0	0	0.034481	0	0	0.030941
2194	0	0	0	0	0	0	0.0344963	0	0	0.030941
2195	0	0	0	0	0	0	0.0345116	0	0	0.030941
2196	0	0	0	0	0	0	0.0345268	0	0	0.030941
2197	0	0	0	0	0	0	0.0345421	0	0	0.030941
2198	0	0	0	0	0	0	0.0345573	0	0	0.030941
2199	0	0	0	0	0	0	0.0345726	0	0	0.030941
2200	0	0	0	0	0	0	0.0345879	0	0	0.030941
2201	0	0	0	0	0	0	0.0346031	0	0	0.030941
2202	0	0	0	0	0	0	0.0346184	0	0	0.030941
2203	0	0	0	0	0	0	0.0346336	0	0	0.030941
2204	0	0	0	0	0	0	0.0346489	0	0	0.030941
2205	0	0	0	0	0	0	0.034668	0	0	0.030941
2206	0	0	0	0	0	0	0.0346832	0	0	0.030941
2207	0	0	0	0	0	0	0.0346985	0	0	0.030941
2208	0	0	0	0	0	0	0.0347137	0	0	0.030941
2209	0	0	0	0	0	0	0.034729	0	0	0.030941
2210	0	0	0	0	0	0	0.0347443	0	0	0.030941
2211	0	0	0	0	0	0	0.0347595	0	0	0.030941
2212	0	0	0	0	0	0	0.0347748	0	0	0.030941
2213	0	0	0	0	0	0	0.03479	0	0	0.030941
2214	0	0	0	0	0	0	0.0348053	0	0	0.030941
2215	0	0	0	0	0	0	0.0348206	0	0	0.030941
2216	0	0	0	0	0	0	0.0348358	0	0	0.030941
2217	0	0	0	0	0	0	0.0348511	0	0	0.030941
2218	0	0	0	0	0	0	0.0348663	0	0	0.030941
2219	0	0	0	0	0	0	0.0348816	0	0	0.030941
2220	0	0	0	0	0	0	0.0348969	0	0	0.030941
